# TIC Temperature[K] Metallicity Logg(CGS) u1 u2 
7.704447100000000000e+07 5.738000000000000000e+03 0.000000000000000000e+00 4.238359929999999665e+00 4.407634086874517854e-01 1.293712382026194208e-01
1.206108330000000000e+08 5.100000000000000000e+03 4.300000099999999881e-01 4.465099809999999891e+00 1.000000000000000056e-01 1.000000000000000056e-01
1.600749390000000000e+08 6.467000000000000000e+03 0.000000000000000000e+00 4.160630229999999763e+00 3.874681889163357207e-01 1.415317246330766721e-01
2.043767370000000000e+08 5.375000000000000000e+03 -1.430000100000000107e-01 4.493710039999999850e+00 4.517624822605634805e-01 1.361143460687513351e-01
4.020262090000000000e+08 5.436000000000000000e+03 -1.000000000000000021e-02 4.460239890000000429e+00 4.554817698895391453e-01 1.312058285892308551e-01
4.159699080000000000e+08 3.644000000000000000e+03 0.000000000000000000e+00 4.799119949999999690e+00 2.959933651233366270e-01 3.192757811221007547e-01
1.242381500000000000e+07 3.642000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.534072965322326842e-01 2.692885991453364269e-01
2.800952540000000000e+08 5.454419921880000402e+03 -1.129050019999999988e+00 3.442470070000000160e+00 1.000000000000000056e-01 1.000000000000000056e-01
9.727392000000000000e+06 6.421500000000000000e+03 -3.099999999999999978e-01 4.190000060000000026e+00 1.000000000000000056e-01 1.000000000000000056e-01
3.050480870000000000e+08 3.139000000000000000e+03 0.000000000000000000e+00 5.049439910000000253e+00 3.278154294718783612e-01 3.192155371846767675e-01
9.006668000000000000e+06 5.024000000000000000e+03 0.000000000000000000e+00 4.568500039999999984e+00 5.010186329445869280e-01 1.181865380259296272e-01
9.725627000000000000e+06 6.362500000000000000e+03 -2.000000000000000111e-01 4.590000149999999834e+00 1.000000000000000056e-01 1.000000000000000056e-01
1.019485690000000000e+08 4.333000000000000000e+03 0.000000000000000000e+00 4.510900020000000232e+00 5.482193579697993702e-01 1.106668686281228609e-01
7.703141400000000000e+07 6.286000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.967693466609522046e-01 1.482310560888749351e-01
1.205855790000000000e+08 6.083000000000000000e+03 0.000000000000000000e+00 4.289830209999999866e+00 4.118648238605616130e-01 1.407981287529097569e-01
1.490102080000000000e+08 6.046000000000000000e+03 0.000000000000000000e+00 4.296390060000000233e+00 4.148701266740117966e-01 1.406220390261308517e-01
1.183275500000000000e+08 3.342000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.351239581993632477e-01 3.101970895162642905e-01
1.546182480000000000e+08 6.208000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 4.001583762155662694e-01 1.486317457064240122e-01
1.586235310000000000e+08 5.070000000000000000e+03 0.000000000000000000e+00 4.479330059999999669e+00 4.921027286841177517e-01 1.196365107971079783e-01
1.601483850000000000e+08 5.540000000000000000e+03 0.000000000000000000e+00 4.421360019999999835e+00 4.635872995261532958e-01 1.234073932884039160e-01
2.017937810000000000e+08 5.711700195309999799e+03 0.000000000000000000e+00 3.839999909999999961e+00 4.597098073610241253e-01 1.092344501822082592e-01
1.799857150000000000e+08 4.157000000000000000e+03 0.000000000000000000e+00 4.592569830000000408e+00 4.783859973628661888e-01 1.669990499729269162e-01
1.842406830000000000e+08 5.700000000000000000e+03 1.541180000000000050e-01 4.395020009999999644e+00 1.000000000000000056e-01 1.000000000000000056e-01
2.242255410000000000e+08 5.862000000000000000e+03 0.000000000000000000e+00 4.517829899999999732e+00 4.081181683153147222e-01 1.540803696987096405e-01
2.379246010000000000e+08 5.071000000000000000e+03 0.000000000000000000e+00 4.483079909999999835e+00 4.914549707732548400e-01 1.197412926893646340e-01
3.220638100000000000e+08 4.020000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 4.802901617913088450e-01 1.610156943849724021e-01
4.968722200000000000e+07 6.101000000000000000e+03 0.000000000000000000e+00 4.481959820000000150e+00 3.900676067621282050e-01 1.567136686009609203e-01
2.043177100000000000e+08 5.700000000000000000e+03 0.000000000000000000e+00 4.397039890000000284e+00 4.453778884404988592e-01 1.306659293262439903e-01
9.222632700000000000e+07 3.131000000000000000e+03 0.000000000000000000e+00 5.057010169999999860e+00 3.278108642839892561e-01 3.300224165035539614e-01
2.007238690000000000e+08 6.382669921880000402e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.904392983752758006e-01 1.496750522742502088e-01
3.504457710000000000e+08 6.474569824219999646e+03 -1.695510000000000073e-01 4.263629909999999690e+00 3.830467304540786655e-01 1.453644617786620519e-01
1.286209900000000000e+07 5.410000000000000000e+03 0.000000000000000000e+00 4.479189869999999907e+00 4.575535680248151715e-01 1.309510646093414443e-01
3.774939600000000000e+07 4.111000000000000000e+03 0.000000000000000000e+00 4.646100040000000320e+00 4.468306500896859212e-01 1.919800638539875814e-01
6.389895700000000000e+07 5.890299804690000201e+03 -3.499999899999999831e-01 3.920000079999999887e+00 4.354300621449096464e-01 1.198565707828462557e-01
7.051336100000000000e+07 5.302580078130000402e+03 2.886540000000000217e-01 4.535150050000000377e+00 4.856219379152035831e-01 1.175639864645250110e-01
1.209167060000000000e+08 3.116000000000000000e+03 0.000000000000000000e+00 5.060430049999999902e+00 3.324733447782267093e-01 3.249416674862212195e-01
1.226120910000000000e+08 6.250000000000000000e+03 -3.616020099999999737e-01 3.988110069999999840e+00 3.993127043118473996e-01 1.317838354907591158e-01
1.599513110000000000e+08 5.310000000000000000e+03 0.000000000000000000e+00 4.596039769999999969e+00 4.714159057565873723e-01 1.288725246176303796e-01
1.647671750000000000e+08 5.784000000000000000e+03 -3.499999899999999831e-01 4.400000000000000355e+00 4.136618758155767295e-01 1.483552331626811771e-01
1.668369200000000000e+08 6.180000000000000000e+03 0.000000000000000000e+00 4.117660049999999572e+00 4.099790609723239498e-01 1.341523602670268156e-01
2.192530080000000000e+08 5.868000000000000000e+03 0.000000000000000000e+00 3.573270079999999904e+00 4.436154233908283784e-01 1.095521667061252202e-01
2.204795650000000000e+08 3.607000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.540125099456964408e-01 2.724702511194585508e-01
2.593770170000000000e+08 3.551000000000000000e+03 0.000000000000000000e+00 4.839819910000000114e+00 2.907244511500696182e-01 3.232544395283643013e-01
2.595113570000000000e+08 6.025000000000000000e+03 0.000000000000000000e+00 4.331349849999999613e+00 4.143085772163409564e-01 1.432967166112709967e-01
2.687660530000000000e+08 4.953000000000000000e+03 0.000000000000000000e+00 4.556530000000000413e+00 5.129449377089960738e-01 1.144637096292282774e-01
2.797404410000000000e+08 4.304600097659999847e+03 -1.500000099999999892e-01 4.570000170000000139e+00 5.191100549189842095e-01 1.282656284814649994e-01
2.819794810000000000e+08 5.181000000000000000e+03 0.000000000000000000e+00 4.546309950000000377e+00 4.799298010835452155e-01 1.247559300293092782e-01
3.738444720000000000e+08 5.616000000000000000e+03 0.000000000000000000e+00 4.376200200000000429e+00 4.542565995588390138e-01 1.257818958787833286e-01
3.821888820000000000e+08 6.366000000000000000e+03 0.000000000000000000e+00 4.162169930000000129e+00 3.982735721829058217e-01 1.384410010496914811e-01
4.394567140000000000e+08 3.748000000000000000e+03 0.000000000000000000e+00 4.757299899999999582e+00 3.082716583746161754e-01 3.090395481460403437e-01
2.441611910000000000e+08 2.955000000000000000e+03 0.000000000000000000e+00 5.135270120000000382e+00 3.804971977374688175e-01 3.615221806682117345e-01
1.226135130000000000e+08 4.140000000000000000e+03 0.000000000000000000e+00 4.463319779999999959e+00 4.985800561483957338e-01 1.507510502115833040e-01
4.205456500000000000e+07 5.454000000000000000e+03 0.000000000000000000e+00 4.591040129999999664e+00 4.555106068690519816e-01 1.341138907539797254e-01
3.869610500000000000e+07 6.002180175780000354e+03 2.575140000000000207e-01 4.123539919999999803e+00 4.300902469137105610e-01 1.283710778851955836e-01
2.978129200000000000e+07 6.321000000000000000e+03 0.000000000000000000e+00 4.224359989999999954e+00 3.979051399388867649e-01 1.407895771496452952e-01
3.826266610000000000e+08 5.250000000000000000e+03 0.000000000000000000e+00 4.641759869999999566e+00 4.726945540247642352e-01 1.306857439138713606e-01
2.771039550000000000e+08 4.943000000000000000e+03 0.000000000000000000e+00 4.573369979999999835e+00 5.146546213656072455e-01 1.133303882113045336e-01
2.204599760000000000e+08 3.891000000000000000e+03 0.000000000000000000e+00 4.640439989999999959e+00 3.614929724342724193e-01 2.566504637864584493e-01
1.500302050000000000e+08 5.245000000000000000e+03 0.000000000000000000e+00 4.576660160000000310e+00 4.733524662301340502e-01 1.273478325638267572e-01
